price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,country,id
148612.5,3.0,1.0,1040,6860,2.0,0,0,3,1040,0,1942,1999,Seattle,USA,4452
622500.0,5.0,2.75,3320,23760,2.0,0,0,4,2190,1130,1975,0,Woodinville,USA,2457
587000.0,3.0,2.25,2370,217800,2.0,0,0,3,2370,0,1979,2014,Redmond,USA,1390
563500.0,4.0,1.75,2085,174240,1.0,0,0,3,1610,475,1964,2000,Fall City,USA,3402
620000.0,4.0,2.5,2450,55387,2.0,0,0,3,2450,0,1994,0,Redmond,USA,3197
1050000.0,4.0,3.5,3450,7832,2.0,0,0,3,3450,0,2007,0,Bellevue,USA,3403
215500.0,2.0,1.75,1220,15600,1.0,0,0,3,1220,0,1972,2002,Auburn,USA,3529
852600.0,4.0,2.5,3320,11901,2.0,0,0,5,2650,670,1977,0,Bellevue,USA,2306
223000.0,3.0,1.75,1340,7473,1.0,0,0,4,1340,0,1973,0,Auburn,USA,688
403000.0,3.0,2.75,2090,8354,2.0,0,0,3,2090,0,2012,1912,Duvall,USA,317
509000.0,2.0,1.5,1930,3521,2.0,0,0,3,1930,0,1989,0,Bellevue,USA,3917
989000.0,5.0,4.5,4030,13474,2.0,0,0,3,4030,0,2000,0,Sammamish,USA,4174
257500.0,3.0,2.25,1715,6819,2.0,0,0,3,1715,0,1995,0,Federal Way,USA,3522
554250.0,3.0,2.5,1490,1709,3.0,0,0,3,1490,0,2004,2003,Seattle,USA,4384
194000.0,1.0,1.0,820,1060,1.0,0,0,3,760,60,2007,0,Seattle,USA,1018
367500.0,3.0,1.5,1410,9647,1.0,0,0,3,1410,0,1961,2004,Shoreline,USA,177
630000.0,4.0,2.75,2710,37277,2.0,0,0,3,2710,0,2000,0,Issaquah,USA,50
387000.0,2.0,2.25,1230,1280,2.0,0,0,3,960,270,2012,1912,Seattle,USA,958
625000.0,4.0,2.75,2920,6605,2.0,0,0,3,2920,0,2012,1912,Renton,USA,64
450000.0,3.0,1.5,2330,11740,1.0,0,0,3,1330,1000,1954,2005,Lake Forest Park,USA,3319
610000.0,3.0,2.5,2630,5827,2.0,0,0,3,2630,0,2001,0,Redmond,USA,4186
450385.71428599994,3.0,2.0,1300,3731,1.0,0,0,3,900,400,1993,0,Seattle,USA,4427
398000.0,2.0,1.0,590,10945,1.5,0,0,3,590,0,1983,2009,Black Diamond,USA,1191
280950.0,3.0,1.75,1390,8700,1.0,0,3,4,840,550,1912,1989,Renton,USA,399
863000.0,4.0,2.5,4120,22370,2.0,0,0,3,4120,0,1997,0,Sammamish,USA,2440
972000.0,4.0,1.75,2010,6300,1.0,0,2,5,1610,400,1937,0,Seattle,USA,3677
245700.0,3.0,2.25,1640,8400,1.0,0,0,3,1180,460,1968,1997,Kent,USA,3341
330000.0,3.0,2.5,1600,26977,2.0,0,0,3,1600,0,2005,0,Duvall,USA,2729
537000.0,3.0,3.0,2410,7479,2.0,0,2,3,2410,0,1942,1988,Lake Forest Park,USA,3481
233500.0,3.0,2.25,1650,2958,2.0,0,0,3,1650,0,1985,0,Kent,USA,3073
332000.0,3.0,2.25,2120,14915,1.0,0,0,3,1720,400,1979,2014,Auburn,USA,4053
800000.0,4.0,3.25,3540,159430,2.0,0,0,3,3540,0,2007,0,Carnation,USA,461
402000.0,4.0,2.75,2950,15540,1.0,0,0,4,2120,830,1974,0,Kent,USA,3625
599000.0,4.0,2.5,2790,230868,2.0,0,0,3,2790,0,1989,0,Woodinville,USA,2300
827000.0,4.0,2.5,3230,12100,1.0,0,0,3,1870,1360,1977,2004,Bellevue,USA,3504
229950.0,4.0,1.75,1300,21000,1.0,0,0,4,1300,0,1969,0,Federal Way,USA,2143
941500.0,5.0,3.5,3490,9680,2.0,0,4,3,2460,1030,1980,0,Shoreline,USA,1763
410000.0,3.0,1.0,1410,5060,1.0,0,0,4,910,500,1956,0,Seattle,USA,2087
485000.0,3.0,1.0,1500,4100,1.5,0,0,3,1370,130,1926,2003,Seattle,USA,899
770000.0,4.0,2.5,3920,12415,2.0,0,0,3,3920,0,1997,0,Sammamish,USA,3340
441750.0,2.0,1.5,1020,1060,3.0,0,0,3,1020,0,2008,0,Seattle,USA,386
475580.0,3.0,1.75,1520,11085,1.0,0,0,3,1520,0,1983,2009,Sammamish,USA,3474
350000.0,3.0,2.0,1380,3600,3.0,0,0,3,1380,0,2013,1923,Seattle,USA,2703
640000.0,3.0,2.5,2140,8925,2.0,0,0,3,2140,0,1991,0,Sammamish,USA,2131
950000.0,4.0,2.5,3670,7680,2.5,0,0,3,3670,0,2007,0,Issaquah,USA,3693
505000.0,3.0,2.5,2100,5824,2.0,0,2,3,2100,0,1999,0,Snoqualmie,USA,409
274900.0,4.0,2.5,1970,6600,2.0,0,0,3,1970,0,1987,2000,Kent,USA,3712
313950.0,3.0,1.0,1510,6083,1.0,0,0,4,860,650,1940,2001,Seattle,USA,191
452000.0,4.0,2.25,2590,10002,1.0,0,0,4,1340,1250,1968,0,Kenmore,USA,1525
762300.0,4.0,2.5,3880,14550,2.0,0,0,3,3880,0,1987,2000,Sammamish,USA,200
450000.0,3.0,2.0,1430,3480,1.0,0,0,3,980,450,1947,2012,Seattle,USA,2929
391400.0,4.0,1.75,1250,7400,1.0,0,0,5,1250,0,1959,0,Bellevue,USA,4533
285000.0,3.0,2.5,1660,6263,2.0,0,0,3,1660,0,2003,0,Kent,USA,3154
399950.0,3.0,1.75,1560,5223,1.0,0,0,4,810,750,1940,2001,Seattle,USA,3082
430000.0,2.0,1.0,990,4802,1.0,0,0,3,990,0,1947,2012,Seattle,USA,1692
225000.0,3.0,1.5,1250,7500,1.0,0,0,3,1250,0,1967,2011,Kent,USA,565
1600000.0,3.0,3.25,3790,19000,2.0,0,4,3,3790,0,1985,0,Seattle,USA,1386
285000.0,2.0,1.0,910,8155,1.0,0,0,4,910,0,1948,0,Shoreline,USA,3589
100000.0,4.0,1.0,1120,2685,1.0,0,0,3,860,260,1939,1969,Renton,USA,2203
